source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
reproduction,20260718__uncertainty_gap,21,12,0.01,0.056917031025237916,0.02552230308151027,0.004259227022185938,1,1,False,-0.0999669,nan
reproduction,20260718__uncertainty_gap,21,12,0.02,0.056917031025237916,0.02552230308151027,0.004259227022185938,1,1,False,-0.0999669,nan
reproduction,20260718__uncertainty_gap,21,12,0.03,0.056917031025237916,0.02552230308151027,0.004259227022185938,1,1,False,-0.0999669,nan
reproduction,20260718__uncertainty_gap,21,14,0.005,0.17396102351703674,0.0489908735004314,0.021466956794670575,4+,4,False,-0.256217|0.0374487-0.699553j|0.0374487+0.699553j|0.690603,nan
reproduction,20260718__uncertainty_gap,21,14,0.01,0.17396102351703674,0.0489908735004314,0.021466956794670575,3,3,False,-0.494693|0.313928-0.465424j|0.313928+0.465424j,nan
reproduction,20260718__uncertainty_gap,21,14,0.02,0.17396102351703674,0.0489908735004314,0.021466956794670575,1,1,False,-0.0998019,nan
reproduction,20260718__uncertainty_gap,21,14,0.03,0.17396102351703674,0.0489908735004314,0.021466956794670575,1,1,False,-0.0998019,nan
reproduction,20260718__uncertainty_gap,21,15,0.005,0.26546128910377714,0.14039566578987614,0.04233289223127571,4+,4,False,-0.496474|-0.0992107|0.310703-0.461296j|0.310703+0.461296j,nan
reproduction,20260718__uncertainty_gap,21,15,0.01,0.26546128910377714,0.14039566578987614,0.04233289223127571,4+,4,False,-0.496474|-0.0992107|0.310703-0.461296j|0.310703+0.461296j,nan
reproduction,20260718__uncertainty_gap,21,15,0.02,0.26546128910377714,0.14039566578987614,0.04233289223127571,1,1,False,-0.0993828,nan
reproduction,20260718__uncertainty_gap,21,15,0.03,0.26546128910377714,0.14039566578987614,0.04233289223127571,1,1,False,-0.0993828,nan
reproduction,20260718__uncertainty_gap,21,16,0.005,0.3397212232359304,0.21293634792576294,0.12472105615685825,4+,4,False,-0.450084|0.048029|0.39755-0.0626899j|0.39755+0.0626899j,nan
reproduction,20260718__uncertainty_gap,21,16,0.01,0.3397212232359304,0.21293634792576294,0.12472105615685825,4+,4,False,-0.450084|0.048029|0.39755-0.0626899j|0.39755+0.0626899j,nan
reproduction,20260718__uncertainty_gap,21,16,0.02,0.3397212232359304,0.21293634792576294,0.12472105615685825,4+,4,False,-0.450084|0.048029|0.39755-0.0626899j|0.39755+0.0626899j,nan
reproduction,20260718__uncertainty_gap,21,16,0.03,0.3397212232359304,0.21293634792576294,0.12472105615685825,1,1,False,-0.0997882,nan
reproduction,20260718__solver_normalized_uncertainty,21,10,0.005,0.6848925440199553,0.40422858295769704,0.16770320877492984,4+,4,False,-0.255453|-0.0173331-0.306632j|-0.0173331+0.306632j|0.340698,nan
reproduction,20260718__solver_normalized_uncertainty,21,10,0.01,0.6848925440199553,0.40422858295769704,0.16770320877492984,4+,4,False,-0.255453|-0.0173331-0.306632j|-0.0173331+0.306632j|0.340698,nan
