family,regime,window,noise,count,class_accuracy,forecast_success_rate,median_radius_error,median_forecast_nrmse,p90_forecast_nrmse
two_scale,post_lag,24,0.001,125536,0.0020472215141473364,0.3136391154728524,0.635863997562,0.239231780124,0.437734637035
two_scale,post_lag,24,1e-05,125536,0.057553211827682894,0.3136391154728524,0.635847852166,0.239231780126,0.437734637035
two_scale,post_lag,24,1e-08,125536,0.057553211827682894,0.3136391154728524,0.63584885661,0.239231780126,0.437734637035
two_scale,post_lag,48,0,125536,0.42836317868977825,0.42836317868977825,0.371549729827,0.183012307862,0.395526861387
two_scale,post_lag,48,0.001,125536,0.25677893193984197,0.42836317868977825,0.399375326764,0.183012307862,0.395526861387
two_scale,post_lag,48,1e-05,125536,0.37080996686209533,0.42836317868977825,0.374014262185,0.183012307862,0.395526861387
two_scale,post_lag,48,1e-08,125536,0.42836317868977825,0.42836317868977825,0.371549728244,0.183012307862,0.395526861387
two_scale,post_lag,96,0,125536,0.6569828575070099,0.6578272368085649,0.00577822471192,0.0280595494535,0.235293487614
two_scale,post_lag,96,0.001,125536,0.4594936910527657,0.6578272368085649,0.224035403555,0.0279823187045,0.235293487614
two_scale,post_lag,96,1e-05,125536,0.5429518225847566,0.6578272368085649,0.0102170530016,0.028058852784,0.235293487614
two_scale,post_lag,96,1e-08,125536,0.6569828575070099,0.6578272368085649,0.00577822455744,0.0280595486704,0.235293487614
